id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
963413970,2022-06-21T09:36:02.436729Z,50.460347460798,30.259813265047,269.6461686239,1.00,true,3.013,8.483,67.804,269.146,-33.563,13,23,23,278.467,281.254,284.798,294,223,0,0,-0.6755,0.7205,1.9239,0.6016
963464473,2022-03-29T03:59:00.777547Z,50.412633865223,28.484389530715,52.7064318920,1.00,true,0.823,2.982,92.656,52.206,-9.222,41,20,18,72.896,77.048,81.691,722,636,0,0,0.1300,0.0757,-0.0143,0.0638
966504087,2022-05-05T13:26:05.279644Z,50.879817343159,28.871410783807,19.5359029996,1.00,true,0.469,1.172,17.882,19.036,-2.720,52,9,16,25.621,34.570,45.694,376,633,0,0,0.3846,0.2128,0.0238,0.0911
968750362,2022-05-05T13:46:59.481455Z,50.561374610009,39.563114238506,13.9707421934,1.00,true,3.425,32.670,525.773,13.471,-115.519,40,24,24,724.410,732.786,742.960,918,921,0,0,0.1156,0.2898,-2.5886,0.1531
973256061,2022-03-16T16:07:49.149623Z,50.353508859546,29.082163230482,73.8181774141,1.00,true,1.657,3.042,75.470,73.318,-10.850,58,21,21,77.449,82.969,87.423,1064,1053,0,0,-0.0662,0.0634,-0.0218,0.0339
975869436,2022-03-16T16:34:08.937218Z,50.064166041683,28.451774281247,54.7353968496,1.00,true,1.424,1.734,149.412,54.235,-4.063,48,16,10,93.434,100.879,106.410,719,338,0,0,-0.0122,0.2098,0.0084,0.1282
976277561,2022-03-16T16:38:19.629794Z,49.434243919490,29.131853126263,80.5610619876,1.00,true,2.099,1.544,253.786,80.061,-1.370,4,21,11,147.425,160.651,168.887,83,40,0,0,-20.1108,0.2629,-0.0201,0.1473
976571486,2022-03-16T16:41:04.873859Z,50.015175642024,28.720528577151,39.0421574244,1.00,true,0.860,3.954,115.361,38.542,-10.126,44,21,21,78.888,89.552,95.949,822,797,0,0,-256.3555,18.5798,0.0025,0.1639
977581923,2022-03-29T05:00:16.913718Z,50.356044630335,29.389863951645,67.8023492787,1.00,true,0.349,2.941,55.007,67.302,-10.086,57,22,22,72.327,78.716,85.769,1138,1084,0,0,0.0472,0.0267,-0.0050,0.0169
977695148,2022-03-29T05:01:31.918145Z,50.527351162381,29.242576070245,53.7003651944,1.00,true,0.774,2.476,30.695,53.200,-9.082,52,22,21,53.830,56.928,61.989,1018,971,0,0,0.1385,0.1004,-0.0317,0.0345
977754073,2022-03-29T05:01:50.309604Z,50.437332913494,29.148052955645,56.6234317241,1.00,true,0.960,2.632,45.007,56.123,-9.690,42,22,22,58.133,63.307,68.343,837,816,0,0,-0.2936,0.1785,-0.0390,0.1073
978093473,2022-03-29T05:05:26.103682Z,50.074337349906,28.138728245528,3.2059857735,1.00,true,0.867,4.359,139.326,2.706,-12.896,51,22,22,92.400,98.717,105.601,967,964,0,0,0.0565,0.0524,0.0500,0.0759
978176723,2022-03-29T05:06:12.392318Z,50.319531727441,29.181179926011,59.8203675580,1.00,true,0.490,2.912,64.092,59.320,-9.608,56,22,22,65.082,72.684,78.937,969,975,0,0,-0.0749,0.0781,-0.0317,0.0375
978376073,2022-03-29T05:08:10.976125Z,50.320713911941,29.361404402558,66.0196491285,1.00,true,1.144,2.976,59.363,65.520,-11.024,57,22,22,71.611,78.734,86.046,1138,1084,0,0,0.2448,0.0800,-0.0133,0.0379
978608398,2022-03-29T05:10:49.997499Z,50.869421166889,28.731998459160,55.7601417359,1.00,true,1.205,1.315,55.127,55.260,-4.003,9,22,22,60.691,67.161,73.831,161,170,0,0,-0.0192,0.2129,-0.0655,0.1145
978900273,2022-03-29T05:13:37.617875Z,50.711330060267,28.726948782868,42.6937520580,1.00,true,0.606,2.429,36.437,42.194,-8.382,20,21,20,47.150,52.799,58.916,380,336,0,0,-0.0475,0.1056,-0.0050,0.0419
989527462,2022-05-05T15:56:22.714663Z,50.351476011221,29.036414382929,61.8517156495,1.00,true,0.626,2.911,69.926,61.352,-9.285,41,24,24,66.721,72.147,77.696,722,720,0,0,0.0044,0.0778,0.0078,0.0312
989537276,2022-12-18T12:01:40.007567Z,51.744483945383,34.008193875763,51.5977014538,1.00,true,2.867,17.572,263.408,51.098,-32.992,17,21,23,354.225,361.603,369.167,336,379,0,0,-26.9974,4.8096,-2.5742,1.6886
993387365,2022-02-13T10:17:13.091504Z,50.869231322007,28.907467281322,21.3490840701,1.00,true,0.490,1.070,19.355,20.849,-2.908,40,14,17,25.512,36.153,46.279,427,502,0,0,0.0542,0.1780,-0.0216,0.0946
993931170,2022-06-21T12:39:56.96603Z,50.125551958233,39.915400203789,120.3476800680,1.00,true,3.794,36.436,549.761,119.848,-116.034,40,23,21,757.760,766.021,776.795,882,808,0,0,0.3537,0.1791,-0.8188,0.4298
995308937,2022-05-05T16:14:03.47319Z,50.649460222449,29.801271539930,60.0918045647,1.00,true,1.428,2.821,34.019,59.592,-10.527,41,22,22,70.292,75.265,82.432,701,654,0,0,0.0843,0.0979,0.0312,0.0635
995545146,2022-08-10T10:41:27.199969Z,52.679116037430,36.173641841331,436.7637735555,1.00,true,2.534,31.271,566.387,436.264,-120.800,87,23,24,669.703,675.373,681.409,1985,2000,0,0,0.0801,0.1679,-0.7862,0.1919
998281923,2022-03-29T07:07:23.696688Z,50.857548901899,28.081893918589,18.9194495450,1.00,true,0.867,1.668,101.922,18.419,-3.303,25,19,19,69.003,81.038,90.692,416,413,0,0,0.3928,0.1646,0.0615,0.0806
1001693023,2022-03-29T07:41:34.735312Z,50.997671390278,28.470829099775,53.1506497019,1.00,true,1.533,1.435,70.710,52.651,-4.265,25,22,20,70.829,80.410,88.956,458,433,0,0,0.0548,0.0597,0.0243,0.0322
1004535987,2022-05-05T17:06:31.990545Z,50.654991728719,29.201953486696,50.8550312666,1.00,true,0.768,2.270,12.678,50.355,-9.009,42,9,22,50.856,51.447,53.787,332,795,0,0,0.0644,0.4011,0.0173,0.1687
1008405936,2022-03-16T19:59:39.284006Z,50.194567891535,28.889212802027,44.0796395868,1.00,true,1.209,2.913,82.933,43.580,-10.716,49,21,21,63.218,72.758,78.840,907,878,0,0,0.1314,0.0712,-0.0204,0.0507
1013533220,2022-06-21T14:37:50.03813Z,50.439624153991,28.885762770661,83.0907420181,1.00,true,1.595,1.564,96.076,82.591,-4.962,15,24,16,86.147,89.381,91.991,307,180,0,0,-33.3630,2.9978,0.0423,0.1305
1014467036,2022-03-16T20:20:01.52572Z,50.418792511788,28.163606091225,38.7272686487,1.00,true,1.459,3.254,121.857,38.227,-9.474,48,20,17,78.714,84.470,90.647,852,714,0,0,-0.1762,0.1994,-0.0060,0.1515
1015583586,2022-03-16T20:31:18.588143Z,50.508586295887,29.232979421795,70.3008358319,1.00,true,0.580,2.589,31.544,69.801,-8.412,41,20,20,70.484,73.561,77.452,784,737,0,0,-0.0335,0.0661,0.0528,0.0424
1024712111,2022-03-16T21:22:45.931927Z,50.278149136041,28.850454771420,44.8502366722,1.00,true,1.008,2.747,74.792,44.350,-10.068,44,20,19,59.566,67.377,72.574,788,745,0,0,-7.9708,3.0538,0.0253,0.0634
1030111674,2022-05-18T08:11:15.075511Z,50.929432155310,28.907535873765,16.8058659587,1.00,true,0.575,1.258,24.491,16.306,-2.924,72,22,21,25.690,37.662,49.865,1395,1166,0,0,-0.0431,0.0628,-0.0211,0.0199
1030767923,2022-03-29T10:32:03.90655Z,50.181946161767,28.994243675269,40.9856733348,1.00,true,0.475,3.193,83.620,40.486,-9.093,47,20,18,59.759,70.199,77.668,753,696,0,0,-0.0119,0.0715,-0.0124,0.0383
1031385173,2022-03-29T10:38:20.5608Z,50.166622308470,28.703059318616,21.6771106453,1.00,true,1.229,2.839,94.402,21.177,-10.439,43,12,16,59.567,69.015,75.735,471,619,0,0,-0.0825,0.0577,-0.0067,0.0319
1032295998,2022-03-29T10:47:31.866725Z,50.198059696459,28.909317930547,41.2391898106,1.00,true,0.444,3.087,84.765,40.739,-9.133,42,21,22,60.526,70.116,76.792,706,737,0,0,0.1836,0.1387,-0.0058,0.0545
1034203086,2022-03-16T22:17:36.151511Z,50.296182827670,29.271463625509,63.8572818748,1.00,true,1.092,2.975,63.756,63.357,-10.848,55,21,20,69.950,78.082,84.624,1076,1009,0,0,0.2822,0.1229,-0.0136,0.0688
1035884986,2022-03-16T22:34:21.761633Z,50.235890694653,28.592308966074,49.9642505760,1.00,true,1.474,2.371,94.881,49.464,-7.238,41,14,16,74.700,80.819,86.107,523,558,0,0,0.0848,0.0793,0.0307,0.0793
1036082461,2022-03-16T22:36:19.319269Z,50.513090283200,29.356682033507,75.5319565305,1.00,true,0.991,2.198,35.883,75.032,-6.681,43,19,20,76.399,79.580,83.899,736,706,0,0,0.1638,0.2361,0.0013,0.0894
1036364786,2022-03-16T22:39:00.824499Z,50.225414563972,28.412888301445,38.8594560556,1.00,true,1.148,2.756,107.953,38.359,-7.176,44,18,14,77.072,82.887,88.595,731,542,0,0,0.0654,0.0782,-0.0020,0.0318
1043405848,2022-03-29T11:58:41.001344Z,50.558732022602,29.083139798547,79.5980344391,1.00,true,1.009,3.006,55.048,79.098,-9.999,59,20,16,80.057,81.083,83.203,1016,815,0,0,-0.0902,0.1890,-0.0303,0.1023
1044610086,2022-03-16T23:21:51.937875Z,50.589809717949,29.274104354261,30.7017563799,1.00,true,0.662,0.593,19.723,30.202,-2.062,18,20,12,30.839,34.259,40.464,219,179,0,0,-0.0340,0.2509,0.0006,0.0738
1049906227,2022-02-26T04:31:36.103518Z,50.995493073598,28.460518600421,25.8845081212,1.00,true,0.943,0.798,52.965,25.385,0.104,16,23,23,54.015,66.063,76.363,302,302,0,0,0.3930,0.2898,-0.0249,0.1212
1055891800,2022-07-07T08:54:09.199381Z,51.330847771678,33.312080750384,132.2029449560,1.00,true,1.001,0.826,331.385,131.703,-49.801,13,22,0,318.648,325.126,332.454,228,0,0,0,-0.0461,0.3317,0.0399,0.1576
1057570798,2022-03-29T13:00:05.426982Z,50.385208037171,29.304284420896,69.6030535337,1.00,true,0.866,2.747,52.546,69.103,-10.573,60,21,20,72.312,77.873,83.997,1102,1007,0,0,0.0365,0.0746,0.0110,0.0298
1057666673,2022-03-29T13:01:01.764489Z,50.382450535160,29.321890040894,68.5627936889,1.00,true,0.576,2.916,52.090,68.063,-10.236,55,22,22,71.523,77.246,83.581,1079,1032,0,0,0.0434,0.0919,-0.0258,0.0564
1057709998,2022-03-29T13:01:46.080726Z,50.597885956446,28.993304058977,81.7111889337,1.00,true,1.264,3.069,56.883,81.211,-9.919,41,22,22,82.400,83.296,84.462,799,759,0,0,-0.1527,0.1033,0.0696,0.0734
1059483327,2022-02-26T05:27:08.592385Z,50.517014676175,29.804843661545,63.7501656684,1.00,true,1.521,1.722,42.163,63.250,-5.408,11,24,24,74.287,80.550,88.323,232,223,0,0,-0.2753,0.3239,0.0130,0.1978
1061124749,2022-05-18T11:21:27.739347Z,50.909755372653,28.860324279354,18.3790692824,1.00,true,0.439,1.194,21.203,17.879,-3.261,72,20,18,26.816,39.244,50.120,1194,1002,0,0,-0.0791,0.2197,-0.0286,0.0643
1063591930,2022-11-15T11:50:20.521813Z,49.199771852751,25.071352847088,74.8983583690,1.00,true,3.222,14.007,467.974,74.398,-32.478,17,24,24,332.611,340.713,348.046,381,395,0,0,0.2677,0.1196,-0.6539,0.2241
1067276377,2022-02-26T06:04:46.456794Z,50.442851413164,29.688927716661,150.1372315377,1.00,true,1.674,5.692,77.231,149.637,-20.543,22,23,17,153.939,156.892,160.998,446,278,0,0,-0.0898,0.1573,-0.1488,0.1471
1067469252,2022-02-26T06:06:31.971672Z,48.760431562695,28.249599379221,27.0885772589,1.00,true,1.793,11.029,155.142,26.589,-28.028,23,23,12,211.887,224.410,232.425,469,201,0,0,0.1397,0.0998,0.0156,0.0994
1067608902,2022-02-26T06:08:19.060002Z,50.349203102123,29.507364753969,147.0647550987,1.00,true,0.801,5.338,61.285,146.565,-19.940,25,21,8,150.227,153.300,157.762,473,152,0,0,0.3247,0.1782,0.7520,0.1500
1067680002,2022-02-26T06:08:19.767728Z,49.818183696612,24.234612759017,170.3606682832,1.00,true,0.840,26.753,323.567,169.861,-50.232,23,24,11,388.606,396.565,402.849,483,196,0,0,0.0640,0.1302,-0.1873,0.2773
1068168098,2022-03-29T14:03:47.815321Z,44.372862574663,19.907692948273,165.1792617172,1.00,true,2.354,1.501,1132.596,164.679,-146.185,9,19,0,979.912,986.127,993.365,160,0,0,0,0.0683,0.2308,-0.0592,0.0636
1075469325,2022-07-07T10:50:37.126346Z,51.100193936599,28.506966682087,46.4033426161,1.00,true,1.546,0.803,44.378,45.903,0.126,11,24,20,69.533,80.735,90.784,215,177,0,0,0.0057,0.2055,-0.0285,0.0396
1084889925,2022-07-07T11:43:01.970812Z,50.723311728251,39.435357164375,84.9373906624,1.00,true,3.820,31.758,519.348,84.437,-116.029,40,24,24,715.212,723.349,733.219,918,921,0,0,0.0479,0.0561,-0.3999,0.2195
1088493502,2022-02-26T08:17:13.901702Z,50.367832124982,29.104258524496,78.1958210739,1.00,true,1.371,2.847,77.776,77.696,-10.098,47,24,23,81.072,85.636,90.402,918,864,0,0,-0.1169,0.1132,0.0019,0.0797
1090010102,2022-02-26T08:32:30.617604Z,50.540121154224,28.620238221750,93.0070744873,1.00,true,0.775,3.167,100.490,92.507,-9.382,39,24,24,98.325,101.613,104.343,782,716,0,0,0.1306,0.0846,0.0370,0.0730
1090258553,2022-04-15T06:18:53.327881Z,54.043040689640,31.323051199226,524.3173979942,1.00,true,3.262,30.754,320.492,523.817,-116.672,42,24,23,646.257,650.945,657.725,1000,927,0,0,-0.5500,0.5858,2.7999,0.5858
1091457708,2022-08-23T08:51:41.685044Z,50.439187621430,29.391807951622,5.8562257940,1.00,true,0.293,0.294,0.177,5.356,-0.315,24,19,17,19.065,31.376,45.256,339,329,0,0,-0.1484,0.1466,0.0119,0.0736
1092290152,2022-02-26T08:55:12.313314Z,50.458426324362,29.191159627969,83.0350381222,1.00,true,1.465,2.491,73.225,82.535,-8.687,28,24,24,83.664,86.735,90.764,582,577,0,0,0.0873,0.1015,-0.0264,0.0579
1092686852,2022-02-26T08:59:08.483572Z,50.446551606330,29.180589166281,85.4958190964,1.00,true,0.612,2.575,74.190,84.996,-8.516,30,22,24,86.282,89.471,93.441,556,603,0,0,-0.2007,0.0935,-0.0124,0.0699
1103362184,2022-10-12T07:56:04.900471Z,50.920719212498,28.909705233437,16.5648203614,1.00,true,0.784,1.202,23.638,16.065,-3.100,72,23,22,24.843,36.819,48.906,1443,1160,0,0,0.0130,0.0561,-0.0217,0.0172
1108329279,2022-09-26T18:12:24.405733Z,50.206025771961,28.439586611241,52.6930490294,1.00,true,1.152,1.574,144.107,52.193,-4.594,3,16,16,82.019,89.454,95.576,46,44,0,0,-33.5799,9.1818,-0.0396,0.1298
1109210777,2022-02-26T10:24:37.000457Z,49.187592990607,29.333881675041,113.6759821767,1.00,true,3.176,1.986,306.594,113.176,-3.000,3,20,14,188.607,201.600,209.779,52,36,0,0,-5.7546,3.1550,-0.2085,0.3678
1118251757,2022-03-12T01:08:18.261451Z,50.432490977525,28.571257358321,79.8970315960,1.00,true,1.039,3.344,97.698,79.397,-9.739,68,14,16,91.254,94.208,97.573,875,914,0,0,-0.0339,0.1147,-0.0135,0.0719
1119218977,2022-02-26T11:24:43.00401Z,50.580001084764,29.292492045593,88.7484190115,1.00,true,1.440,2.173,60.312,88.248,-5.996,12,20,14,88.820,90.298,93.027,197,123,0,0,0.0917,0.2254,0.0939,0.1658
1120147382,2022-03-12T01:26:46.866574Z,51.672708742753,31.833861831557,98.1101581636,1.00,true,1.031,2.369,190.866,97.610,-37.133,40,21,0,230.522,237.201,242.269,790,0,0,0,-0.1436,0.0854,-0.0121,0.1130
1120344357,2022-03-12T01:29:11.569589Z,50.470994934979,29.018412903912,59.5780063335,1.00,true,0.770,2.787,52.498,59.078,-9.430,59,21,21,61.634,64.960,68.518,1082,1072,0,0,-0.0044,0.0586,-0.0016,0.0300
1120582007,2022-03-12T01:31:48.715893Z,50.346781586781,29.005219620389,61.2925571651,1.00,true,0.446,2.819,70.727,60.793,-9.284,40,21,20,66.805,72.886,77.612,707,686,0,0,-0.1152,0.0711,-0.0019,0.0390
1120676557,2022-03-12T01:32:43.714275Z,50.314825132415,28.706767803373,42.3687256389,1.00,true,0.766,2.987,82.021,41.869,-9.286,54,21,21,60.931,66.924,72.049,980,988,0,0,0.1522,0.1107,0.0065,0.0656
1120836482,2022-03-12T01:34:08.383058Z,50.856731878499,28.096238736197,2.2553408416,1.00,true,1.790,1.821,98.741,1.755,-4.617,20,18,18,65.478,77.937,87.853,301,315,0,0,0.0743,0.0910,-0.0208,0.0825
1120928457,2022-03-12T01:34:54.33226Z,50.029404223317,28.667536247164,23.7559592238,1.00,true,0.584,3.707,115.952,23.256,-10.668,53,20,20,76.120,84.076,90.741,922,908,0,0,-0.1581,0.1899,0.1368,0.1590
1123237532,2022-03-12T01:50:59.829028Z,64.793800111311,-9.426463533497,320.8599796663,1.00,true,3.096,3.986,2843.441,320.360,-434.171,8,19,0,2647.963,2659.524,2673.688,147,0,0,0,-0.8463,0.6920,1.3102,0.8126
1128385284,2022-10-12T10:06:30.544197Z,50.474816765813,29.404645131364,6.3746698626,1.00,true,0.814,0.471,3.089,5.875,-0.456,28,16,17,17.665,28.849,42.640,305,383,0,0,0.0953,0.1157,-0.0035,0.0422
1130586298,2022-03-29T20:30:21.933425Z,50.559035879163,28.922785915499,57.5673043257,1.00,true,1.248,2.624,44.577,57.067,-10.067,48,22,22,59.984,61.691,64.008,940,861,0,0,0.0511,0.0752,0.0041,0.0341
1130681348,2022-03-29T20:31:16.608477Z,50.101021024289,28.720870435763,24.2396127380,1.00,true,0.852,3.113,103.423,23.740,-10.392,46,11,20,65.207,75.065,82.431,478,760,0,0,0.0408,0.0471,0.0194,0.0336
1130710448,2022-03-29T20:31:47.23208Z,50.504479918653,28.443763656415,30.6946970503,1.00,true,0.702,2.774,73.804,30.195,-8.768,40,22,22,55.884,62.319,67.850,785,747,0,0,-0.0777,0.1622,0.0166,0.1014
1130787873,2022-03-29T20:32:24.308347Z,50.504874551740,28.914957877940,54.3118473985,1.00,true,0.500,2.621,49.421,53.812,-8.692,46,22,22,58.229,60.397,63.366,897,841,0,0,0.2970,0.1177,0.0463,0.0721
1130883748,2022-03-29T20:33:20.332285Z,50.432120194547,29.176107140818,53.0796429203,1.00,true,0.486,2.554,43.703,52.580,-8.668,44,22,22,54.716,60.492,66.028,873,843,0,0,-0.0475,0.1616,-0.0048,0.0732
1131169423,2022-03-29T20:36:04.207261Z,49.879473752507,29.249825074323,8.0021620533,1.00,true,0.972,3.409,116.093,7.502,-10.793,50,21,22,75.088,90.749,101.074,959,927,0,0,0.1118,0.1371,-0.0231,0.1157
1131200098,2022-03-29T20:36:36.085435Z,50.168548971431,28.809576771677,37.4401942619,1.00,true,1.072,3.154,95.100,36.940,-9.915,40,22,22,63.061,72.593,78.961,695,706,0,0,0.2328,0.1231,0.0377,0.1153
1137974784,2022-10-12T11:02:13.586404Z,50.921321819514,28.845742191978,68.1990133597,1.00,true,1.281,2.018,19.319,67.699,-7.414,48,24,24,71.384,76.885,83.436,1034,990,0,0,0.2759,0.1557,-0.0578,0.0768
1138613734,2022-10-12T11:08:58.206303Z,50.729153299924,30.418994537299,88.4074378827,1.00,true,1.759,1.793,48.376,87.907,-0.794,10,21,23,119.485,125.402,132.341,161,189,0,0,0.3712,0.2784,-0.0992,0.1495
