id,isotime,latitude,longitude,depth,magnitude
20220218163743825,2022-02-18 16:37:43.850,50.0,28.0,0.0,1.0
20220219064052250,2022-02-19 06:40:52.075,50.521189,27.976152,0.0,1.0
20220219094041775,2022-02-19 09:40:41.850,50.704283,28.774805,0.0,1.0
20220220154630025,2022-02-20 15:46:30.200,50.749224,28.773484,0.0,1.0
20220221120813750,2022-02-21 12:08:13.775,50.772823,29.382475,0.0,1.0
20220222075804800,2022-02-22 07:58:04.800,50.015049,31.236313,0.0,1.0
20220222100718050,2022-02-22 10:07:18.050,52.003669,27.905321,0.0,1.0
20220222105638175,2022-02-22 10:56:38.175,50.43766,31.231986,0.0,1.0
20220223082157950,2022-02-23 08:21:57.900,52.003669,27.905321,0.0,1.0
20220223102356800,2022-02-23 10:23:56.800,52.003669,27.905321,0.0,1.0
20220223105742850,2022-02-23 10:57:42.800,52.003669,27.905321,0.0,1.0
20220223112251650,2022-02-23 11:22:51.575,51.134481,28.662016,0.0,1.0
20220223112712125,2022-02-23 11:27:12.200,51.094197,28.606194,0.0,1.0
20220223120125225,2022-02-23 12:01:25.175,50.001611,32.212535,0.0,1.0
20220223153221375,2022-02-23 15:32:21.400,50.722426,28.788436,0.0,1.0
20220224030540650,2022-02-24 03:05:40.700,50.654703,31.087083,0.0,1.0
20220224031514150,2022-02-24 03:15:14.100,50.181396,28.663972,0.0,1.0
20220224031726550,2022-02-24 03:17:26.425,50.339661,31.1314,0.0,1.0
20220224031955200,2022-02-24 03:19:55.150,50.101387,28.736375,0.0,1.0
20220224032046725,2022-02-24 03:20:46.250,50.449637,30.843628,0.0,1.0
20220224032253950,2022-02-24 03:22:54.175,50.342155,30.773211,0.0,1.0
20220224032711225,2022-02-24 03:27:11.425,50.118838,28.693902,0.0,1.0
20220224033108075,2022-02-24 03:31:07.850,50.278984,30.815869,0.0,1.0
20220224033612825,2022-02-24 03:36:12.850,50.011118,31.591999,0.0,1.0
20220224035030450,2022-02-24 03:50:30.450,50.001611,32.212535,0.0,1.0
20220224040313925,2022-02-24 04:03:13.850,50.001611,32.212535,0.0,1.0
20220224041055825,2022-02-24 04:10:55.800,50.016516,31.068913,0.0,1.0
20220224041353650,2022-02-24 04:13:53.600,50.001611,32.212535,0.0,1.0
20220224041514125,2022-02-24 04:15:14.175,50.001611,32.212535,0.0,1.0
20220224042034050,2022-02-24 04:20:33.975,50.001611,32.212535,0.0,1.0
