count,max,mean,median,metric,min,p05,p95,rms
120,1.724999122458222,0.6463879820077219,0.6138285102747992,interevent_original_km,0.038071479763984194,0.16799866065433908,1.2703776077147058,0.7292960491033643
120,0.962221993023915,0.32684919570625326,0.30233609319366084,interevent_relocated_km,0.010408091616492973,0.04721571981685852,0.7185717216711044,0.3934184402535929
16,0.5974813720770719,0.17786940736992407,0.16453806386369255,nearest_original_km,0.038071479763984194,0.038071479763984194,0.4522023586756083,0.23026741664889547
16,0.11859515622331297,0.03996630503585453,0.016228296257562072,nearest_relocated_km,0.010408091616492973,0.010408091616492973,0.09772602972367403,0.052581699080939875
16,0.9991595025514928,0.35371144486991957,0.31981369275993815,horizontal_shift_km,0.04350580231546035,0.057911693143931964,0.677721095114302,0.416316783770364
16,0.04,-1.0842021724855044e-19,0.01,time_shift_s,-0.08,-0.0575,0.04,0.03221024681681282
16,0.08,0.02625,0.02,abs_time_shift_s,0.0,0.0075,0.0575,0.03221024681681282
3412,0.170477081,0.0003074156307151231,0.0005241885,dd_residual_s,-0.169162003,-0.0519649981,0.04873933429999995,0.03240996767463908
3412,0.170477081,0.01830603871570926,0.0082589135,dd_abs_residual_s,1.87e-07,0.00053803235,0.08139827069999997,0.03240996767463908
0,nan,nan,nan,pick_abs_residual_original_s,nan,nan,nan,nan
0,nan,nan,nan,pick_abs_residual_relocated_s,nan,nan,nan,nan
0,nan,nan,nan,model_dd_abs_residual_original_s,nan,nan,nan,nan
0,nan,nan,nan,model_dd_abs_residual_relocated_s,nan,nan,nan,nan
